     1 0.374922E-12 0.205933E-04 0.340570E-01 0.209480E-14
     2 0.155569E-14 0.392038E-05 0.437307E-01 0.623540E-16
     3 0.108899E-13 0.970304E-05 0.403599E-01 0.101077E-14
     4 0.311139E-14 0.417214E-05 0.433018E-01 0.108763E-15
     5 0.155569E-14 0.127468E-04 0.358463E-01 0.396488E-16
     6 0.127567E-12 0.162135E-04 0.326470E-01 0.415522E-14
     7 0.407593E-12 0.321392E-04 0.332057E-01 0.864561E-15
     8 0.305228E-11 0.388404E-04 0.297308E-01 0.104986E-11
     9 0.202241E-13 0.159063E-04 0.434863E-01 0.485568E-15
    10 0.933416E-14 0.210274E-04 0.305099E-01 0.828509E-16
    11 0.264469E-13 0.432042E-05 0.375493E-01 0.111404E-13
    12 0.140013E-13 0.340238E-04 0.310202E-01 0.809152E-15
    13 0.933416E-14 0.363546E-05 0.477103E-01 0.604741E-14
    14 0.311139E-14 0.421779E-05 0.481100E-01 0.678194E-16
    15 0.497823E-13 0.568035E-05 0.481100E-01 0.709574E-14
    16 0.326695E-13 0.810909E-05 0.332994E-01 0.773890E-15
    17 0.186684E-13 0.747299E-05 0.335212E-01 0.212502E-15
    18 0.174237E-12 0.656364E-05 0.305866E-01 0.223204E-13
    19 0.435595E-13 0.698695E-05 0.415379E-01 0.129120E-14
    20 0.155569E-14 0.407087E-05 0.432307E-01 0.759811E-15
    21 0.155569E-14 0.157189E-04 0.286130E-01 0.413542E-15
    22 0.706285E-12 0.154320E-04 0.360265E-01 0.110434E-12
    23 0.150280E-11 0.262409E-04 0.294156E-01 0.128265E-12
    24 0.326695E-12 0.227216E-04 0.397081E-01 0.229740E-14
    25 0.108899E-13 0.102253E-04 0.420225E-01 0.869015E-15
    26 0.186684E-13 0.703728E-05 0.347159E-01 0.404638E-15
    27 0.108899E-13 0.931868E-05 0.304351E-01 0.499842E-16
    28 0.902303E-13 0.161596E-04 0.308128E-01 0.454993E-14
    29 0.185127E-12 0.159899E-04 0.245645E-01 0.175735E-14
    30 0.933416E-14 0.439931E-05 0.470770E-01 0.133962E-15
    31 0.155569E-14 0.904446E-05 0.390858E-01 0.111282E-15
